Word,Mean
je,yo
de,de
est,es
pas,no
le,la
vous,vosotras
la,la
tu,tú
que,que
un,a
il,Él
et,y
à,a
a,posee
ne,no
les,a ellos
ce,este
en,en
on,nosotros
ça,que
une,a
ai,tener
pour,para
des,desde
moi,yo
qui,quién
nous,nosotros
y,Y
mais,pero
me,yo
dans,dentro
du,de
bien,bien
elle,ella
si,si
tout,todo
plus,Más
non,No
mon,mi 
suis,soy
te,tú
au,a
avec,con
va,Vamos
oui,sí
toi,tú
fait,hacer
ils,ellos
as,COMO
être,estar
faire,hacer
se,SE
comme,como
était,estaba
sur,seguro
quoi,qué
ici,aquí
sais,saber
lui,a él
veux,desear
ma,mi
là,la
rien,nada
dit,dijo
es,frasco
où,dónde
votre,su
pourquoi,Por qué
sont,están
cette,este
quand,cuando
par,por
son,su
ton,su
peux,puedo
vais,Vamos
dire,decir
alors,entonces
comment,Como? 'O' que
avez,tener
bon,Bien
ou,Dónde
très,muy
merci,Gracias
ont,tienen
même,mismo
jamais,Nunca
aussi,también
voir,ver
chose,cosa
allez,vamos
tous,todos
deux,de ellos
ces,estas
faut,debería
sa,su
êtes,son
été,Verano
ta,su
fais,hacer 
avoir,haber
peut,puede
autre,otro
m,METRO
encore,Otra vez
maintenant,Ahora
peu,poco
mes,mi
vraiment,De Verdad
temps,tiempo
notre,nuestro
toujours,todavía
vie,vida
sans,sin que
juste,sólo
oh,Vaya
avait,tenía
accord,OK
vu,visto
monde,mundo
quelque,alguno
fois,tiempo
aller,Vamos
trop,demasiado
viens,ven
crois,creer
dieu,dios
dois,debo
homme,hombre
père,papá
sûr,seguro
aux,a
leur,sus
avant,antes de
étais,es
besoin,necesitar
femme,mujeres
aime,amor
personne,nadie
avais,tenido
chez,en la casa de
vrai,real
ans,año
mal,mal
ses,su
parler,hablar
vos,su
après,después
mort,muerto
veut,querer
eu,UE
sera,estarán
bonne,buena
parce,por
mieux,mejor
petit,pequeño
voilà,listo
tes,su 
ca,que
dis,decir
beaucoup,mucho
depuis,desde
doit,deber
vois,ver 
mère,madre
vas,Vamos
monsieur,señor
quel,qué
déjà,ya
fille,hija
gens,gente
donc,Entonces
jour,día
soir,tardecita
autres,otros
ii,II
toute,toda
bonjour,Buenos dias
ll,LL
maison,hogar
nom,apellido
argent,dinero
nos,nuestro
ouais,sí
pense,pensar
merde,mierda
nuit,noche
papa,padre
cela,que
salut,Hola
cet,este
avons,tenemos
reste,descansar
désolé,Lo siento
maman,mamá
peur,miedo
arrive,llegado
seul,Sólo
vite,rápido
prendre,tomar
regarde,mirado
air,aire
soit,eso es
trois,tres
quelle,qué
passé,pasado
savoir,saber
plaît,celda
choses,cosas
moins,menos
fils,hijo
entre,Entre
bas,abajo
appelle,llamar
passe,pasar
ah,ahorcado
tête,cabeza
demain,mañana
grand,grande
arrête,detenido
faites,hecho
voulez,desear
hé,Oye
attends,esperar
hein,eh
enfants,niños
assez,suficiente
raison,razón
aurais,tendría
voulais,querido
elles,ellas
parle,hablar
ok,OK
jours,días
dû,de
moment,momento
heure,hora
puis,después
gars,tipo
hommes,hombres
amour,amor
tard,tarde
toutes,todas
sommes,somos
tuer,matar
eh,eh
ami,amigo
connais,saber
petite,pequeña
aider,ayudar
chance,suerte
savez,saber
partir,"Marcharse, irse"
sait,saber
combien,Cuanto
voiture,carro
tant,mucho
pris,tomado
part,Vamos
problème,problema
prends,tomar
porte,portón
coup,Corte
serait,sería
venir,venir
hui,hui
famille,familia
travail,trabajar
pu,pudo
seule,solamente
sens,sentido
ni,ninguno de los dos
allons,vamos
revoir,ver de nuevo
idée,ocurrencia
putain,puta
passer,gastar
contre,versus
comprends,comprender
entendu,comprendido
trouvé,fundar
trouver,encontrar
vieux,antiguo
vient,venir
pendant,durante
aurait,tendría
quelques,algunas
attention,atención
demande,solicitud
chercher,buscar
sous,por debajo
voici,aquí está
pourrait,pudo
sang,sangre
pouvez,pueden
sortir,salir
question,pregunta
histoire,historia
amis,amigos
venez,venir
frère,hermano
rester,Quédate
fini,acabado
ville,pueblo
nouveau,nuevo
truc,cosa
tiens,aquí
mois,mes
eux,a ellos
mec,tipo
yeux,ojos
laisse,dejar solo
super,Excelente
belle,precioso
longtemps,mucho tiempo
police,policía
eau,agua
heures,horas
car,porque
importe,importado
cas,caso
vont,van
chaque,cada
terre,tierra
place,cuadrado
tué,matar
type,tipo
main,mano
pardon,perdón
ensemble,juntos
seulement,solamente
guerre,guerra
beau,hermoso
vers,hacia
mme,Sra
prie,rezar
devant,delante
trouve,encontrar
partie,parte
suite,después
compris,comprendido
matin,Mañana
leurs,sus
aucun,ninguna
arrivé,venir
dessus,arriba
chérie,Cariño
mettre,poner
aide,Ayuda
étaient,fueron
ie,es decir
perdu,perdió
fin,final
sois,ser
premier,primero
genre,género
aimerais,gustaria
droit,correcto
donne,dado
attendez,Espere
jeune,joven
feu,fuego
devrais,debería
enfant,niño
chambre,habitación
gros,grueso
côté,lado
venu,vino
loin,lejos
laisser,dejar
donner,dar
jouer,jugar
savais,supo
compte,cuenta
s,s
parlé,hablar
minutes,minutos
regardez,Mira
train,tren
première,primero
pouvoir,poder
aura,tendrá
mourir,morir
dernière,ultimo
donné,dado
ia,I A
mari,esposo
écoute,escuchar
enfin,finalmente
devrait,debería
mis,poner
film,película
aucune,ninguna
fort,fuerte
façon,camino
pays,país
prêt,listo
madame,señora
femmes,mujeres
affaire,asunto
pourrais,pudo
espère,esperar
parti,izquierda
h,H
boulot,Curro
endroit,lugar
fou,loco
corps,cuerpo
hier,el dia de ayer
dont,cuyo
désolée,perdón
grande,grande
point,punto
cinq,cinco
dehors,afuera
filles,muchachas
cause,causa
vivre,vivir
près,cerca
pensais,pensamiento
garçon,niño
chef,jefe
haut,alto
capitaine,capitán
dirait,diría
bébé,Bebé
celui,el único
demandé,pedir
possible,posible
mains,manos
ainsi,De este modo
quatre,cuatro
nouvelle,nueva
années,años
plein,completo
semaine,semana
dites,decir
croire,creer
marche,caminando
tour,redondo
école,Escuela
manger,comer
plutôt,en cambio
docteur,médico
ceux,aquellos
vérité,verdad
vue,visto
arrêter,parar
essaie,probar
envie,urgir
bientôt,pronto
instant,momento
dernier,ultimo
affaires,negocio
arriver,llegar
demander,pedir
meilleur,mejor
font,hacen
derrière,detrás
c,VS
dollars,dólares
presque,casi
dr,DR
tellement,mucho
tomber,caer
journée,tiempo de día
voulait,quería
appeler,llamar
bureau,despacho
confiance,confianza
garde,mantener
attendre,esperar
numéro,número
serai,estarán
dur,difícil
á,posee
souviens,recuerda
o,O
voyez,ver
cours,clase
bonsoir,buenas noches
route,la carretera
fera,voluntad
prend,tomar
cul,culo
abord,a bordo
important,importante
peine,tristeza
croyais,creído
mot,palabra
devez,deber
suffit,suficiente
minute,minuto
ferme,granja
ben,ben
plaisir,Placer
chien,perro
jeu,Juego
seigneur,caballero
messieurs,caballeros
calme,calma
voudrais,gustaría
heureux,contento
prenez,tomar
mariage,boda
voit,visión
parents,padres
lls,LLS
dedans,en el interior
entrer,Entrar
lit,cama
parfait,Perfecto
fous,loca
mlle,Milisegundo
rentrer,regresar
ait,posee
musique,música
arrêtez,Deténgase
autant,como mucho
service,Servicio
reviens,regresar
ceci,este
drôle,gracioso
attend,murga
parfois,algunas veces
téléphone,teléfono
retour,devolver
ira,iré
e,mi
pauvre,pobre
verre,vidrio
général,general
new,nuevo
six,seis
pensé,pensar
l,yo
impossible,imposible
fête,Fiesta
adore,adorar
coeur,corazón
aimes,amor
ci,este
ferai,servirá
président,Presidente
doute,duda
facile,fácil
entends,oír
payer,paga
appelé,llamó
prison,prisión
john,Juan
sors,Salir afuera
café,café
vaut,valor
mauvais,Equivocado
chéri,Querido
oublié,olvidó
bras,brazo
i,yo
gentil,amable
faute,error
équipe,tripulación
exactement,exactamente
cœur,corazón
penser,pensar
changer,cambiar
commence,empezar
lieu,evento
entendre,Escuchar
ies,fondos
roi,Rey
plan,plan
partout,En todas partes
joue,desempeñar
cher,querido
morts,muerto
rendre,regresar
écrit,escritura
travailler,trabajar
malade,enfermo
sinon,de lo contrario
génial,estupendo
regarder,mirar
veulent,desear
montrer,mostrar
rentre,Vete a casa
travaille,trabajar
armée,ejército
voulu,deseado
cherche,buscar
état,estado
boire,beber
sécurité,seguridad
dès,desde
esprit,espíritu
année,año
dix,diez
york,York
laissé,dejar solo
bois,madera
mets,poner
propre,propio
soyez,ser
jack,Jack
essayer,probar
faisait,hizo
tôt,pronto
surtout,sobretodo
arme,armado
t,T
rêve,sueño
perdre,perder
avis,aviso
semble,parece
pire,peor 
simple,sencillo
penses,pensando
parles,hablar
paix,paz
livre,libro
dormir,dormir
voyons,vamos a ver
difficile,difícil
retard,demora
allait,iba a
d,d
sujet,tema
appris,aprendió
ensuite,después
sauf,excepto
maître,Maestro
morte,muerto
noir,negro
or,oro
dîner,cena
choix,opcion
serais,sería
écoute,escuchar
sale,sucio
étiez,ha sido
sûrement,seguramente
an,año
ordre,ordenar
souvent,frecuentemente
essayé,intentó
peuvent,pueden
visage,cara
bout,final 
changé,intercambio
sérieux,serio
inquiète,preocuparse
âge,edad
photo,Foto
rue,calle
tirer,jalar
comprendre,comprender
face,cara
semaines,semanas
marché,mercado
questions,Preguntas
honneur,honor
ciel,cielo
allé,Vamos
garder,Mantener
chemin,sendero
grave,severo
gauche,izquierda
petits,pequeña
courant,correr
amie,Amiga
nouvelles,nuevo
avion,plano
con,tonto
content,contento
force,fuerza
millions,millones
oublie,olvidar
devoir,a tener que
prochaine,Siguiente
prix,Premio
propos,sobre
bateau,barco
bouge,Muevete
voix,voz
rouge,Rojo
restez,Quedarse
celle,que
pouvais,pudo
personnes,gente
ferais,haría
début,inicio
espèce,especies
gueule,boca
acheter,comprar
continue,continúa
sort,deletrear
faim,hambre
long,largo
j,J
voyage,viajar
message,mensaje
sorte,clasificar
reçu,recibió
bienvenue,bienvenidos
idiot,estúpido
certains,alguno
hôpital,hospital
promis,prometido
devenir,volverse
ouvre,abierto
grâce,gracia
sûre,seguro
problèmes,problemas
armes,arma
trucs,cosas
camp,acampar
allais,alla
occupe,Para mantenerse ocupado
devait,tuve que
manque,falta
connaissez,saber
thé,té
avaient,tenido
cheveux,pelo
soleil,Sol
salle,Sala
gagner,ganar
laissez,abandonar
erreur,error
cru,creído
pars,Vamos
bizarre,extraño
croyez,creer
sac,Bolso
hôtel,hotel
oncle,tío
pièce,habitación
pouvait,pudo
fond,abajo
soirée,tardecita
secret,secreto
patron,jefe
rapport,relación
apprendre,aprender
commencé,empezado
sauver,ahorrar
seconde,el segundo
pensez,pensar
allô,hola
ailleurs,en algún otro lugar
agent,agente
froid,frío
seras,estarán
pied,pie
jolie,bonita
revenir,volver
scène,escenario
pieds,pies
n,no
devons,deber
groupe,banda
carte,mapa
aurai,tendrá
effet,efecto
neuf,nuevo
fallait,tuve que
monte,montado
battre,batir
noël,Navidad
venue,venir
mots,palabras
tire,dibujado
droite,derecha
libre,libre
soeur,hermana
situation,situación
seront,estarán
faux,falso
bordel,desorden
foutre,semen
lumière,luz
euh,oh
incroyable,increíble
tue,matar
joli,"bonito, lindo"
connaît,saber
debout,vertical
colonel,coronel
cheval,caballo
écoutez,Escuchar
george,Jorge
joe,José
vieille,antiguo
entrez,Adelante
intérieur,interior
coin,esquina
auras,auras
gagné,ganó
fric,dinero
loi,ley
absolument,absolutamente
dame,dama
cool,Frío
magnifique,espléndido
dos,espalda
occuper,para ocupar
présent,aquí
retrouver,encontrar
réussi,exitoso
frank,Franco
rencontrer,encontrar
aviez,tenido
meilleure,mejor
âme,alma
prêts,préstamos
doucement,suavemente
table,mesa
lettre,carta
rappelle,recuerda
sam,se sentó
fut,estaba
risque,riesgo
ordres,órdenes
appel,llamar
commencer,comenzar
terminé,Terminado
agit,Actuar
blanc,"blanco, Blanca"
sœur,hermana
pareil,lo mismo
charlie,charlie
chaud,caliente
finir,terminar
touche,toques
avance,ventaja
ignore,pasar por alto
meurtre,asesinato
tranquille,calma
anniversaire,aniversario
déjeuner,comida
disais,dijo
bord,borde
tom,Tomás
jeunes,juventud
accident,accidente
parlez,hablar
fasse,hacer
complètement,completamente
déteste,odiado
clair,luz
marcher,caminar
disait,dijo
mauvaise,malo
envoyé,enviado
â,posee
professeur,profesor
heureuse,contento
doivent,deben
midi,mediodía
lire,leer
moyen,medio
ferait,haría
commandant,El oficial al mando
vraie,real
sept,siete
forme,forma
tombe,caídas
silence,silencio
sortez,Sal
connaître,saber
puisse,mayo
cadeau,presente
flics,policías
mer,mar
médecin,médico
exact,exacto
décidé,decidió
moitié,mitad
surprise,sorpresa
avocat,abogado
montre,Reloj
b,B
su,SU
porter,llevar
télé,TELEVISOR
vivant,vivir
jure,jurado
disent,decir
mr,SRES
serez,estarán
devriez,debería
devenu,convertirse
aimé,me gusta
diable,demonio
ligne,línea
mission,asignación
suppose,Ficticio
chacun,cada uno
autour,alrededor
pote,camarada
grosse,grande
expliquer,explique
arrivée,llegada
monter,subir
balle,pelota
selon,de acuerdo a
photos,Fotos
contrôle,control
prête,lista
anglais,inglés
sorti,Salió
k,k
bons,bueno
disparu,desvanecido
tenir,mantener
simplement,meramente
quitter,abandonar
envoie,enviar
paul,Pablo
aimer,amar
voie,camino
paris,París
classe,clase
huit,ocho
offre,oferta
poste,trabajo
dangereux,peligroso
attaque,ofensivo
impression,impresión
folle,mujer loca
michael,Miguel
mange,comer
bravo,bien hecho
arrière,espalda
amérique,America
suivre,seguir
aille,ala
oublier,olvidar
peuple,poblada
baiser,Beso
rencontré,reunir
honte,verguenza
connard,Estúpido
trou,agujero
retourner,dar la vuelta
chanson,canción
change,intercambio
arrêté,detenido
enfer,infierno 
écrire,escribir
livres,libros
habitude,hábito
réponse,responder
david,David
lieutenant,teniente
savait,supo
radio,radio
tenez,mantener
bande,vendado
bob,Beto
rend,renders
compagnie,empresa
connu,conocido
secours,rescate
danse,baile
met,pone
vol,Vuelo
vit,vive
conneries,mierda
aurez,tendrá
imagine,concebido
boîte,caja
joué,desempeñar
triste,triste
sud,sur
lu,leer
tel,Teléfono
merveilleux,maravilloso
pute,puta
aie,Ay
ressemble,parece
coucher,dormir
ennuis,nubes
volé,Volar
sortie,salida
devais,tuve que
combat,lucha
bouche,cargado
certain,cierto
visite,visitar
existe,existir
bête,bestia
retourne,devolver
approche,Acercarse
pourtant,Sin embargo
plusieurs,varios
rire,risa
but,objetivo
sergent,sargento
public,audiencia
système,sistema
présente,presente
dirai,diría
faudra,tendrá que
écouter,escuchar
hors,excepto
exemple,ejemplo
vendre,Vender
continuer,seguir
coups,golpes
pourra,mayo
sympa,bonito
nord,norte
cuisine,cocina
époque,era
grands,ordenado
héros,héroe
étrange,extraño
avenir,viniendo
danger,peligro
envoyer,enviar a
gouvernement,gobierno
danser,bailar
lune,luna
etre,estar
poser,para posar
partez,activar
normal,normal
peau,piel
santé,salud
ecoutez,Escuchar
ouvrir,abrir
nez,nariz
secondes,segundos
amoureux,enamorado
dommage,verguenza
pleine,completo
mille,mil
banque,banco
voler,robar
clé,llave
bonnes,bueno
paraît,aparecer
servir,servir
journal,Iniciar sesión
village,pueblo
tient,está aguantando
flic,policía
salaud,bastardo
juge,juez
tiré,dibujado
cour,tribunal
assis,se sentó
bruit,ruido
terrible,horrible
prochain,Siguiente
inspecteur,inspector
liberté,libertad
blague,broma
robe,vestir
crime,delito
bière,cerveza
tas,montón
viennent,están viniendo
don,Don
reine,reina
protéger,proteger
seuls,solamente
préfère,prefiere
bar,bar
dingue,loca
vent,viento
pitié,lástima
croit,cree
payé,pagado
travers,mediante
club,club
garçons,Niños
conseil,consejo
mesdames,señoras
sol,suelo
bonheur,felicidad
rêves,Sueños
centre,centro
thé,té
mêmes,mismo
avions,aviones
mike,Miguel
nulle,nula
stupide,mudo
pouvons,podemos
vin,vino
tante,tía
sent,sentir
fiche,forma
milieu,ambiente
signe,signo
unis,Unido
appelez,llamar
départ,salida
