Korean,Spanish
내가,yo
난,yo
그,que
안,no
내,mi
수,número
you,tú
이,este
네,sí
거야,Voluntad
좀,Un poquito
the,la
i,yo
nbsp,NBSP
그래,okey
왜,por qué
있어,tengo
더,más
그리고,y
한,una
우리,nosotros
잘,bien
to,a
할,servirá
다,todos
a,A
어떻게,cómo
무슨,qué
s,s
정말,De Verdad
그냥,sólo
게,cangrejo
하지만,Sin embargo
그럼,después
it,ESO
있는,hay
해,sol
지금,ahora
뭐,Qué
아니,no
있어요,hay
것,cosa
날,yo
제가,yo
넌,Tú
여기,aquí
저,yo
전,estoy
건,caso
이제,ahora
거,cosa
걸,chica
우리가,A NOSOTROS
아,ahorcado
없어,no
t,T
그게,eso es
나,yo
못,estanque
제,Mi
당신이,tú
거예요,Voluntad
닥터,médico
네가,tú
그런,después
and,Y
다른,Diferente
that,que
돼,Ser - estar
다시,otra vez
너,tú
그렇게,como eso
좋아,estupendo
너무,También
of,de
당신은,usted está
그래서,por lo tanto
우린,nosotros
그건,que
모든,cada
당신,tú
하는,haciendo
나도,Yo también
좋은,bueno
이런,este
응,sí
what,qué
is,ES
이건,Este
하고,hacer
때,en el momento
나는,yo
뭘,Qué
같이,juntos
봐,Mira
또,Además
in,en
없어요,No
아냐,No
어서,apuro
we,nosotros
오늘,Este Dia
아니야,no
me,YO
아주,muy
오,Cinco
말이야,Palabra
어,oh
누가,quién
빨리,apuro
어떤,cual
알아,saber
해요,hacer
이게,este
말,palabra
마,mente
같은,mismo
이렇게,como esto
줄,línea
자,gobernante
아직,aún
하지,solsticio de verano
이거,este
야,Oye
no,NO
on,EN
널,tú
your,tuya
this,este
일이,Días
가,Vamos
있습니다,hay
괜찮아,está bien
모두,todos
알고,saber
여기서,aquí
바로,De inmediato
우리는,estamos
될,Ser - estar
어디,dónde
엄마,Mamá
그는,él
my,mito
전에,antes de
사람이,Gente
진짜,De Verdad
do,hacer
he,él
당신을,tú
re,Re
not,no
예,Sí
있을,Inquisición
때문에,Porque
위해,por
겁니다,Está
계속,Seguir
얼마나,cuánto
have,qué
않아,No
are,son
사람,Persona
제발,por favor
안돼,no
두,dos
그래요,okey
근데,de paso
안녕,hola
be,ser
m,metro
하나,una
몇,alguno
거지,los pobres
있지,En su lugar
수도,capital
they,ellos
can,caña
많이,Un monton de
집에,en casa
좋아요,me gusta
아니에요,no
아뇨,no
don,don
거죠,Está
알았어,okey
그걸,Que
for,por
was,ESTABA
없는,No tener
그렇지,Correcto
대해,sobre
그가,él
know,SABER
저기,allá
가서,Vamos
함께,juntos
같아,mismo
아빠,Papá
there,allá
가자,vamos
말을,Palabras
했어,Lo hice
와,Guau
그러니까,Asi que
가장,la mayoría
보고,reporte
그만,deténgase
참,Oh sí
돼요,pueden
나한테,A mi
항상,siempre
일을,trabajar
뭐야,qué
음,Bien
큰,grande
것도,También
안녕하세요,Hola
꼭,por favor
그런데,De paso
아무도,nadie
all,todos
뭐가,qué
with,con
아무것도,nada
니가,Estás
저는,yo
일,Trabajar
알아요,lo sé
괜찮아요,está bien
몰라,No sé
씨,Semilla
당신의,Su
만약,Y si
just,sólo
있고,Y
절대,nunca
많은,Muchos
말야,Ya
아무,nada
but,pero
그거,eso
하면,si
그럴,Asi que
말이,Palabras
아니라,no
그녀는,Ella es
사람은,gente
고마워요,Gracias
곧,pronto
수가,cargo médico
아니면,que no
말고,no
했어요,Hice
같아요,mismo
잠깐,por un momento
so,asi que
갈,conflicto
맞아,Correcto
것을,Cosa
사람들이,Gente
있다고,Que
거기,allá
말은,Las palabras
그래도,todavía
이미,ya
if,si
이봐,Oye
온,En
이걸,Este
가지고,con
젠장,mierda
뭐라고,qué
나를,yo
she,Ella
해야,Sol
한번,una vez
않아요,No
here,Aquí
뭔가,Alguna cosa
않을,No a
거에요,Es
자기,uno mismo
당장,en este momento
둘,dos
있다,tener
대한,Sobre
이젠,ahora
그를,A él
봐요,Mirar
ll,LL
있죠,Lo es
아마,quizás
선생님,Maestro
like,me gusta
고마워,gracias
시간,hora
여자,Mujer
전부,todos
그의,Su
get,obtener
now,ahora
여긴,Aquí
동안,Durante
됐어,hecho
oh,Oh
사람을,Gente
감사합니다,gracias
먼저,primero
one,una
되는,derribado
지금은,Ahora es
있는데,hay
너도,también
him,A ÉL
있잖아,Oye
돈,dinero
세상에,Oh Dios mío
볼,mejilla
어때,Qué opinas
없습니다,No hay
절,yo
자네,tú
그녀가,Ella
알았어요,ya veo
된,Dirigió
번,th
엄마가,Mamá
저도,Yo también
들어,escuchar
시간이,Esta vez
her,SU
얘기,historia
그들은,están
아버지,padre
ve,Ver
go,Vamos
다들,todo el mundo
아니요,no
일은,Trabajar
합니다,hacer
남자,hombre
친구,amigo
이리,Lobo
이상,Más que
싶어,desear
줘,Dame
수술,Operación
will,Voluntad
come,venir
본,Copiar
물론,por supuesto
혼자,solo
있으면,si hay
중,medio
내게,a mi
미안해,Lo siento
up,ARRIBA
우릴,coreano
싫어,no
내일,mañana
거라고,Que es
안에,en
니,tú
at,a
것이,Que
가는,yendo
자네가,Tú
그러면,después
생각해,pensar
how,Cómo
by,por
나쁜,Malo
right,CORRECTO
yes,sí
out,afuera
주세요,por favor
있었어,Había
작은,pequeña
why,Por qué
가지,Rama
그들이,ellos
문제가,El problema
순,Ordenar
말도,Palabras
well,bien
일이야,Es trabajo
것은,Que es
사실,Realmente
them,a ellos
그저,sólo
말해,Dilo
마세요,no haga
think,Pensar
going,Yendo
우리의,Nuestro
그러니,asi que
대체,cómo
같은데,Me gusta
있나,¿Esta ahí?
who,quién
did,hizo
아이,Niño
다음,Siguiente
사람들은,Gente
필요,necesitar
가요,Vamos
완전,muy
거요,Sí
언제,cuando
전혀,De nada
want,Desear
거의,casi
아는,saber
해도,cuadro
중요한,importante
나와,salga
적이,Enemigos
나중에,luego
알,huevo
got,OBTUVO
너는,tú
미안해요,Lo siento
생각,pensar
새로운,nuevo
있었어요,Había
잠깐만,Espera un minuto
방금,En este momento
것이다,estarán
맞아요,Derecha
갖고,Tener
벌써,ya
여보,miel
나랑,conmigo
아빠가,Papá
하죠,Hazlo
싶지,Yo quiero
time,Tiempo
when,cuando
아직도,Todavía
about,sobre
소리,sonido
yeah,sí
l,L
어디서,dónde
없다,ninguna
적,enemigo
오래,largo tiempo
혹시,Quizás
조지,Jorge
나가,Sal
너희,tú
doctor,médico
몰라요,No sé
해서,Asi que
아닙니다,no
없이,sin que
새,pájaro
누구,quién
as,COMO
그녀를,Su
맙소사,Oh Dios mío
있다는,Que
기다려,Espere
see,Ver
환자,paciente
수술을,Cirugía
했는데,Lo hice
죄송합니다,perdón
from,de
back,espalda
위해서,por
부인,señora
됐어요,Esta bien
모르겠어,No sé
차,coche
죄송해요,Lo siento
왔어,Estoy aquí
아니지,No
살,grasa
오늘은,Hoy es
원하는,desear
죽을,muriendo
밖에,fuera de
양,oveja
말이에요,quiero decir
있나요,tienes
와서,venir
돈을,dinero
필요해,Necesito
마지막,ultimo
직접,directamente
죽은,muerto
말이지,quiero decir
여기에,Aquí
완전히,completamente
시간을,Tiempo
알지,saber
매우,muy
an,un
올,todos
글쎄,Bien
봤어,sierra
good,bueno
서로,El uno al otro
것입니다,Estarán
짓을,Que hacer
없지,No
그레이,gris
메러디스,Merdis
도움이,ayuda
싶어요,desear
would,HARÍA
where,dónde
환자가,Paciente
여자가,Una mujer
보면,Mirar
한다,hacer
여보세요,Hola
그렇죠,Sí
look,Mira
왜요,por qué
us,A NOSOTROS
말이죠,Palabra
이지,fácil
후,después
건가요,Es un caso
그녀의,su
없고,No
단지,sólo
멋진,Enfriar
하는데,que hacer
need,necesitar
않고,Sin que
지난,pasado
정말로,De Verdad
밤,noche
제대로,adecuadamente
나의,mi
왜냐면,porque
조금,poco
있다면,si hay
or,o
싶은,Deseo
신경,nervio
아니고,No
했지,Hizo
아닌,no
베일리,Muralla exterior
제일,la mayoría
가고,Yendo
있는지,Si se trata de
위한,por
도대체,por qué
어때요,que tal
때까지,Hasta que
아이고,Dios mio
우리를,A nosotros
아저씨,señor
his,su
있어서,Asi que
데리고,a lo largo de
않았어,No hice
어디로,Dónde
너한테,para ti
어느,cual
사람들,gente
없을,Ahi no
never,Nunca
왔어요,vino
말아요,No haga
되면,Si esto es
않는,no
아버지가,Padre
모르겠어요,No sé
let,dejar
뿐이야,solamente
그러지,Asi que
거다,Correr
말하지,Hablar
그것은,que
전화,teléfono
이름이,El nombre
모르는,No lo sé
꽤,justamente
먹고,comer
여러분,todo el mundo
집,Hogar
보여,ver
않은,Soltado
미안,perdón
이름은,nombre es
이번,esta vez
당연히,por supuesto
있잖아요,Hay
술,alcohol
보자,Vamos a ver
ok,OK
왜냐하면,porque
않습니다,no
그러나,Pero
되지,No
사람들을,Gente
별로,realmente no
손,mano
보세요,mira este
사는,vivir
어머니,madre
대해서,sobre
되고,Y
세,contar
딱,Perfecto
아이를,El niño
tell,Tel
결국,finalmente
얘,Desalentador
앞으로,Delantero
지,Ji
사랑해,te amo
않으면,Que no
man,hombre
아침,Mañana
손을,mano
하세요,hazlo
생각을,Pensar
첫,Primero
been,estado
듣고,escuchar
could,PUDO
집으로,a casa
남자가,Un hombre
처음,primero
안돼요,No
오말리,Omali
어쨌든,de todos modos
말할,Decir
am,SOY
여전히,todavía
엄마는,Mama es
이야기,historia
친구가,Un amigo
땐,Cuando
d,d
텐데,Podría ser
대신,en cambio
당신도,Tú
말하는,hablando
놈이,Tipo
있게,Con
없다고,No
걱정,preocuparse
것처럼,Como
라고,Llamó
생각이,Pensamiento
알겠어요,lo sé
수는,Agua
오빠,hermano
가야,Gaya
언제나,siempre
were,Fueron
했죠,Lo hice
필요한,necesario
너의,su
알겠습니다,Está bien
훨씬,más
너를,tú
최고의,Excelente
way,camino
then,después
거기서,alla
건데,yo
후에,después
못해,no puedo
didn,no
데,lugar
놈,tipo
두고,Izquierda
사랑하는,Cariñoso
그때,En ese tiempo
자넨,Manen
없잖아,No
가면,mascarilla
보는,ver
매일,todos los días
년,año
고맙습니다,gracias
알았지,Entender
뭔지,Lo que es
뒤에,detrás
씨발,Mierda
금방,pronto
잡아,captura
sorry,Lo siento
something,Alguna cosa
살아,En Vivo
크리스티나,Christina
않았어요,No lo hice
가진,tener
있네,Hay
누구야,Quién es
하게,que hacer
엄청,muy
게다가,además
너랑,contigo
건가,Pistola
둘이,dos personas
누군가,alguien
갑자기,de repente
보지,Coño
미친,loca
어쩌면,quizás
say,decir
어제,el dia de ayer
해봐,probar
기분이,Sentir
유일한,solamente
한다고,Que
얘기를,Hablar
따라,seguir
확실히,exactamente
take,Tomar
있어야,Debe ser
당신과,contigo
마치,Me gusta
테니까,Porque
really,DE VERDAD
는,Es
이봐요,Oye
막,membrana
너가,tú
집에서,En casa
이상한,Extraño
스스로,mí mismo
아이구,Ups
환자를,Paciente
저를,yo
당신에게,para ti
존,zona
clara,Clara
문,puerta
그들을,a ellos
자신을,Ellos mismos
중에,En el medio
놔,Dejar
나에게,a mi
필요해요,Necesito
people,gente
make,hacer
알게,Saber
아니죠,No
아마도,quizás
때가,Tiempo
아이가,Niño
because,porque
서,Oeste
알렉스,Alex
이름을,nombre
여기가,aquí
어이,Oye
앉아,siéntate
됩니다,Es posible
조용히,en silencio
클라라,Clara
사랑,amor
아니다,no
애가,entusiasta
자신의,Propio
살고,En Vivo
계세요,alguien en casa
했잖아,Lo hiciste
thing,Cosa
가세요,Vamos
준비,Listo
이유가,la razón es
love,amor
그만해,para
일단,Primero
모두가,Todo el mundo es
잘못,equivocado
알겠어,De acuerdo
없었어,No
적어도,Al menos
had,TENIDO
저녁,cena
대로,La carretera
아침에,En la mañana
있소,Ahí
뭐하는,Qué hacer
죽일,Matar
타고,Montando
down,Abajo
좋지,bueno
눈을,Ojos
찾고,Hallazgo
뭐지,qué
입니다,sin ver
데릭,derrick
늘,siempre
거고,En
our,coreano
머리,cabeza
없죠,No
형,hermano
눈,Ojo
좋아하는,Favorito
lord,caballero
일어나,despierta
애,bebé
있지만,A pesar de que
원래,normalmente
아가씨,señorita
알잖아,sabes
과장님,Gerente
다음에,próximo
뭔,Qué
뭔데,Qué
길을,Sendero
조심해,Ten cuidado
찾을,Fundar
입,boca
hey,Oye
뭐죠,Qué es
